city_ascii,lat,lng,country,admin_name,population,id
Kumbakonam,10.9602,79.3845,India,Tamil Nadu,140156,1356960436
Chicacole,18.3,83.9,India,Andhra Pradesh,137944,1356141471
Bankura,23.25,87.0667,India,West Bengal,137386,1356582158
Mandya,12.5242,76.8958,India,Karnataka,137358,1356039212
Dehri,24.91,84.18,India,Bihar,137231,1356452600
Khargone,21.8229,75.6139,India,Madhya Pradesh,136551,1356728712
Raigarh,21.8,83.3,India,Chhattisgarh,135363,1356458234
Siwan,26.22,84.36,India,Bihar,135066,1356238764
Chikmagalur,13.3167,75.7833,India,Karnataka,133651,1356137222
Hassan,13.005,76.1028,India,Karnataka,133436,1356007455
Gondia,21.45,80.2,India,Maharashtra,132821,1356105759
Palwal,28.143,77.329,India,Haryana,131926,1356128481
Palghat,10.7792,76.6547,India,Kerala,130955,1356115164
Chittandikavundanur,10.6931,76.7188,India,Tamil Nadu,130736,1356162407
Bongaigaon,26.4769,90.5583,India,Assam,129894,1356037877
Mukerian,31.95,75.62,India,Punjab,129841,1356427915
Hanumangarh,29.5833,74.3167,India,Rajasthan,129654,1356133715
Kanchrapara,22.9456,88.4332,India,West Bengal,129576,1356022687
Hoshangabad,22.7475,77.7274,India,Madhya Pradesh,128599,1356003812
Chas,23.63,86.17,India,Jharkhand,128331,1356317326
Khanna,30.7,76.22,India,Punjab,128137,1356905575
Nagda,23.4564,75.4131,India,Madhya Pradesh,127484,1356765829
Palni,10.45,77.5161,India,Tamil Nadu,126751,1356384365
Guntakal,15.17,77.38,India,Andhra Pradesh,126270,1356140724
Mothihari,26.65,84.9167,India,Bihar,126158,1356540032
Pithampur,22.6197,75.6933,India,Madhya Pradesh,126099,1356912433
Navadwip,23.4088,88.3657,India,West Bengal,125543,1356449184
Patan,23.85,72.1167,India,Gujarat,125497,1356500905
Basirhat,22.6612,88.866,India,West Bengal,125254,1356109985
Halisahar,22.95,88.42,India,West Bengal,124939,1356242644
Sunam,30.13,75.8,India,Punjab,124590,1356036724
Rishra,22.71,88.35,India,West Bengal,124577,1356339732
Jharsugra,21.85,84.03,India,Odisha,124500,1356155035
Pali,23.35,81.05,India,Madhya Pradesh,124175,1356107944
Nandgaon,20.307,74.657,India,Maharashtra,123191,1356282779
Alwal,17.5047,78.5038,India,Andhra Pradesh,123031,1356947057
Dimapur,25.92,93.73,India,Assam,122834,1356155429
Bhadrakh,21.0545,86.5156,India,Odisha,122119,1356245799
Dharmavaram,14.43,77.72,India,Andhra Pradesh,121874,1356879569
Baidyabati,22.79,88.32,India,West Bengal,121110,1356079081
Puruliya,23.3333,86.3667,India,West Bengal,121067,1356350196
Ghazipur,25.5833,83.5667,India,Uttar Pradesh,121020,1356773744
Bagaha,27.0992,84.09,India,Bihar,120736,1356397208
Gudiyattam,12.9476,78.87,India,Tamil Nadu,120716,1356530159
Gurdaspur,32.0333,75.4,India,Punjab,120564,1356120401
Bagalkot,16.1833,75.7,India,Karnataka,120104,1356504504
Satara,17.6833,73.9833,India,Maharashtra,120079,1356054526
Nokha,27.6,73.42,India,Rajasthan,120000,1356674096
